AAVE CONTRACTS ON ETHEREUM,,
Contracts,,Address
LendingPoolAddressesProvider,,0xB53C1a33016B2DC2fF3653530bfF1848a515c8c5
LendingPoolAddressesProviderRegistry,,0x52D306e36E3B6B02c153d0266ff0f85d18BCD413
LendingPool,,0x7d2768dE32b0b80b7a3454c06BdAc94A69DDc7A9
LendingPoolCollateralManager,,0xbd4765210d4167CE2A5b87280D9E8Ee316D5EC7C
LendingPoolConfigurator,,0x311Bb771e4F8952E6Da169b425E7e92d6Ac45756
LendingRateOracle,,0x8A32f49FFbA88aba6EFF96F45D8BD1D4b3f35c7D
Price Oracle,,0xA50ba011c48153De246E5192C8f9258A2ba79Ca9
Pool Admin,,0xee56e2b3d491590b5b31738cc34d5232f378a8d5
Emergency Admin,,0xCA76Ebd8617a03126B6FB84F9b1c1A0fB71C2633
ProtocolDataProvider,,0x057835Ad21a177dbdd3090bB1CAE03EaCF78Fc6d
WETHGateway,,0xEFFC18fC3b7eb8E676dac549E0c693ad50D1Ce31
AaveCollector,,0x464C71f6c2F760DdA6093dCB91C24c39e5d6e18c
IncentivesController,,0xd784927Ff2f95ba542BfC824c8a8a98F3495f6b5
UiPoolDataProvider,,0x30375522F67a6308630d49A694ca1491fA2D3BC6
UiIncentiveDataProvider,,0xD01ab9a6577E1D84F142e44D49380e23A340387d